sentence,aspect,category,domain,type
موقع الفندق قريب من كل شيء مثل التسوق والترام وما إلى ذلك.,موقع الفندق,location general,hotel,explicit
كان لدينا 3 غرف، جميعها تحتوي على سريرين، بهذا السعر,NULL,hotel prices,hotel,implicit
نظيف وجديد فندق,فندق | فندق,hotel cleanliness | hotel quality,hotel,explicit | explicit
ودود الموظفين، جميل الغرفة ومحيط هادئ.,الموظفين | الغرفة | الغرفة,service general | rooms design_features | rooms comfort,hotel,explicit | explicit | explicit
يقع الفندق في موقع جيد على بعد مسافة قصيرة سيراً على الأقدام من المدينة المحرمة.,NULL,NULL,hotel,implicit
رائع لقد عدت للتو من إقامة لمدة ثلاث ليالٍ في NY Palace، ويجب أن أقول إنني حقًا لا أفهم سبب عدم وجود هذا المكان ضمن أول 20 مكانًا في مدينة نيويورك.,NY Palace,hotel general,hotel,explicit
كان الطقس جميلا والشواطئ رائعة,NULL,NULL,hotel,implicit
لقد بقيت في أماكن أجمل بكثير بنفس السعر.,NULL,NULL,hotel,implicit
تم منحنا غرفة هادئة لطيفة غرف في الطابق السادس تطل على حمام السباحة الخاص بالفندق المجاور.,غرفة | غرفة | غرفة,rooms general | rooms comfort | rooms general,hotel,explicit | explicit | explicit
مسافة قصيرة بالسيارة إلى استوديوهات يونيفرسال.,استوديوهات يونيفرسال,location general,hotel,explicit
لن نعود إلى هناك .,NULL,hotel general,hotel,implicit
جيد للتوقف,NULL,hotel miscellaneous,hotel,implicit
بوفيه الإفطار ليس جيدًا، والموقع ربما يكون غير جيد بعض الشيء.,بوفيه الإفطار | الموقع,food_drinks quality | location general,hotel,explicit | explicit
رائع الخدمة أنا وكيل سفر أقوم بحجز الفنادق في جميع أنحاء العالم، لذلك نحن دقيقون للغاية.,الخدمة,service general,hotel,explicit
هذا مكان صغير، قريب من كل ما قد ترغب في رؤيته، حتى القبعات القديمة من باريس.,NULL,location general,hotel,implicit
لن أتردد في البقاء هنا مرة أخرى.,NULL,NULL,hotel,implicit
لا شيء هو نفسه تماما مرة أخرى,NULL,NULL,hotel,implicit
لا ننتظر حتى نتمكن من زيارة المكان مرة أخرى.,NULL,hotel general,hotel,implicit
الشيء الوحيد هو أنه يمكنك سماع القطارات في الغرفة,غرفة,rooms comfort,hotel,explicit
يقع على مسافة قصيرة سيرًا على الأقدام من هايد بارك ومتحف التاريخ الطبيعي.,NULL,location general,hotel,implicit
شكرا جزيلا على لطفكم وكرم الضيافة - وخاصة المساعدة في الحصول على تأشيراتنا!,NULL,service general,hotel,implicit
الغرفة كانت كبيرة ومريحة ولكنها كانت تفوح منها رائحة السجائر بكثرة.,الغرفة | الغرفة | الغرفة,rooms design_features | rooms comfort | rooms quality,hotel,explicit | explicit | explicit
التصميم الداخلي الذكي-,NULL,NULL,hotel,implicit
رواغ!,NULL,NULL,hotel,implicit
استرخي مع معالج الانعكاسات!,NULL,NULL,hotel,implicit
قمت بإجراءات الدخول إلى فندق Sheritan أولاً وغادرت مباشرة - مكان مثير للاشمئزاز - غرف محبطة، في حاجة ماسة إلى التجديد وصاخبة للغاية أيضًا (تم وضعنا في غرفة بجوار محطة الحافلات!).,NULL,NULL,hotel,implicit
الغرف مذهلة بتصميمها الحديث وعمليتها.,الغرف,rooms quality,hotel,explicit
الميزة الإيجابية لهذا الفندق (بجانب الموقع الرائع) هي مكتب الاستقبال / فريق الإدارة.,الموقع الرائع | مكتب الاستقبال | فريق الإدارة,location general | service general | service general,hotel,explicit | explicit | explicit
لقد أقمت في هذا (الفندق 3) بسبب موقعه المركزي، ووجدت أن (الفندق 3) مثالي بالنسبة لي.,الفندق | الفندق | الفندق,hotel general | location general | hotel general,hotel,explicit | explicit | explicit
كان السرير مريحًا للغاية، غرفة كانت هادئة وكانت تحتوي على جميع وسائل الراحة الضرورية بما في ذلك خدمة الإنترنت عالية السرعة المجانية.,NULL | غرفة | NULL,room_amenities comfort | rooms comfort | facilities general,hotel,implicit | explicit | implicit
الضغط. المناشف كانت سميكة وناعمة للغاية. لا يوجد حمام سباحة. الشيء السيئ الوحيد في هذا الفندق هو أنه متصل بساحة مجمع مكاتب أمريكا الذي يُغلق في عطلات نهاية الأسبوع. لذا فإن جميع المتاجر غير مفتوحة. يوجد حلبة للتزلج على الجليد مفتوحة للتزلج المحدود. ادفع 20 دولارًا مقابل خدمة صف السيارات ما لم تكن تخطط للقيادة إلى أجزاء أخرى من دالاس. يقع قطار دارت على بعد كتلتين فقط من الباب الأمامي.,المناشف | حمام سباحة | NULL,room_amenities quality | facilities general | location general,hotel,explicit | explicit | implicit
لا أوصي المرضى الآخرين في المستشفى القريب بالإقامة في هذا الفندق، ولا يقدم الفندق خدمة ودية للمتصلين من الضيوف.,NULL,NULL,hotel,implicit
كانت الأسرة رائعة. أقمت في Best Western Coconut Waikiki لمدة ليلتين فقط.,Western Coconut Waikiki | Western Coconut Waikiki,room_amenities general | hotel general,hotel,explicit | explicit
توصيات المطاعم,NULL,NULL,hotel,implicit
يجب أن أقول إنني أشعر بخيبة أمل كبيرة ... ذهبت إلى الفندق بسبب المراجعات واكتشفت أن الدش كان متسخًا ورائحته كريهة، فأبلغت الموظفين,الفندق | الدش,hotel general | room_amenities quality,hotel,explicit | explicit
لانغهام الإقامة كان من المفترض أن نحصل على غرفة ممتازة.,لانغهام,hotel general,hotel,explicit
الفندق مركزي للغاية ونظيف.,الفندق | الفندق,location general | hotel cleanliness,hotel,explicit | explicit
الآن لدي فكرة كيف يمكن لبعض الناس أن يكرهوا هذا الفندق.,NULL,NULL,hotel,implicit
كانت غرفتنا كبيرة ونظيفة وكانت تحتوي على تكييف جيد.,NULL,NULL,hotel,implicit
كانت غرفتنا  شديدة الرطوبة وصاخبة، وقد يكون ذلك مرتبطًا بالتركيب الهيكلي لممتلكات الفندق.,غرفتنا | غرفتنا,rooms general | rooms comfort,hotel,explicit | explicit
بشكل عام كانت تجربة جيدة جدًا وأود أن أوصي بهذا الفندق.,الفندق | الفندق,hotel general | hotel general,hotel,explicit | explicit
هناك الكثير من المطاعم والحانات اللطيفة القريبة أيضًا.,NULL,NULL,hotel,implicit
