sentence,aspect,category,domain,type
لقد جربنا مساحيق أخرى وهذا بالتأكيد هو الأفضل بالنسبة لنا.,NULL,food general,food,implicit
يبدو أنه لا يزال طازجًا بعد ثلاثة أيام.,NULL,food general,food,implicit
كانت هذه العلامة التجارية والنكهة الأفضل على الإطلاق.,NULL,food quality,food,implicit
أثناء ممارسة الأنشطة الشاقة، أحب الطريقة التي يستقر بها في معدتي قبل المباريات والطاقة التي يمنحني إياها.,NULL,food general,food,implicit
"أفعل هذا أحيانًا لأرى المدة التي يمكنني الاستمرار فيها، ولكن تحريكه يحل أي ""حرق"" أو أي شيء على الفور وينتشر عبر الفم بشكل ممتع.",NULL | NULL,food general | food general,food,implicit | implicit
إن وضع حفنة منها في فمك سوف يبقيك مشغولاً لفترة من الوقت ويشعرك بالشبع.,NULL,NULL,food,implicit
جديد منتج لمنزلنا .,منتج,food general,food,explicit
هذا هو أحد الأطعمة المفضلة لدي على الإطلاق الأطعمة، والذكريات العالقة لدي عن البرازيل.,الأطعمة,food general,food,explicit
نحن نحب هذا الشاي المثلج، ذو نكهة عرق السوس اللذيذة.,الشاي | الشاي,food general | food quality,food,explicit | explicit
هذا رائع بكل بساطة، ولذيذ للغاية في أي وصفة تتطلب نكهة اللوز القوية.,NULL | NULL | NULL,food general | food general | food quality,food,implicit | implicit | implicit
إنه سماوي تمامًا.,NULL,food general,food,implicit
لقد تأثرت كثيرا .,NULL,NULL,food,implicit
حيث أن هذه دائما طازجة!,NULL,NULL,food,implicit
هذه القهوة تنتج تحميصًا متوسطًا لطيفًا مع نكهات الأزهار والتوت الغريبة.,القهوة,food quality,food,explicit
سي اف اتش,NULL,NULL,food,implicit
عند تحويل PB2 إلى زبدة الفول السوداني، لا تضيف الكثير من الماء، وإلا فإن القوام سيكون غريبًا وسيصبح الطعم مخففًا قليلاً.,NULL,NULL,food,implicit
جيد جدًا !,NULL,food general,food,implicit
إنه لذيذ ومالح ومقرمش.,NULL,food quality,food,implicit
موصى به للغاية!,NULL,food recommendation,food,implicit
كلبي مجنون بهذه العصي!,العصي,food quality,food,explicit
أحب حليب الصويا Silk Very Vanilla Soymilk في العبوات الكبيرة، وكنت سعيدًا جدًا عندما كنت أتصفح Amazon ووجدت هذه العبوات الفردية بحجم 8 أونصات,حليب الصويا Silk Very Vanilla Soymilk | Amazon,food general | amazon availability,food,explicit | explicit
لقد كتبت أمازون وأعادوا لي المبلغ على الفور، لذا فإن خدمة العملاء لديهم ممتازة. لقد فتحنا منذ ذلك الحين بعض الأكياس الإضافية ولا تبدو قديمة، لكنني ما زلت لا أعتقد أنها ذات مذاق طازج مثل تلك الموجودة في البقالة.,أمازون | NULL,food general | food quality,food,explicit | implicit
ربما يكون أفضل قليلاً من البريتزل العادي.,NULL,food general,food,implicit
إنه فقط 0.54 دولارًا لكل علبة في وول مارت.,NULL,NULL,food,implicit
من الواضح أن هذا هو مزيج المكسرات المفضل لدي.,NULL,food general,food,implicit
تم حل المشكلة!,NULL,NULL,food,implicit
رائع المنتج .,المنتج,food general,food,explicit
أبدأ كل يوم بكوب من الشوكولاتة الساخنة.,الشوكولاتة الساخنة,food general,food,explicit
أنا لست متأكدًا حتى من مجموعة اللحوم التي يبيعونها.,NULL,NULL,food,implicit
إنهم جميعًا يحبون هذا الطعام، وهو مغذي جدًا بالنسبة لهم، ولا يحتوي على أي منتجات حيوانية.,NULL | NULL,food general | food quality,food,implicit | implicit
