sentence,aspect,category,domain,type
‎لكنني شعرت دائمًا أنني أفتقد المعلومات النظرية.,NULL,NULL,coursera,implicit
"‎وأخيرًا، مقدمة قصيرة عن فن استخدام أحكام القضاء كحدث أو اختبار، على سبيل المثال؛ في ""ميراندا""، أو ""كيلر""، أو ""براون""، أو ""اختبار ماكدونيل دوغلاس"".",NULL,NULL,coursera,implicit
‎سأعود بالتأكيد إلى بعض أجزاء هذه الدورة في المستقبل.,NULL,NULL,coursera,implicit
"‎لقد قدمت ""نصيحة عامة"" رائعة مع قاعدة بحثية ضئيلة أو معدومة.",NULL,presentation quality,coursera,implicit
‎شكرًالجميعالمؤلفينعلىهذهالمادةالرائعةالمادة.,المادة,material quality,coursera,explicit
‎أنصح به لكل من يهتم بهذا المجال .,NULL,course general,coursera,implicit
‎كانت الجلسة التمهيدية متكررة جدًا.,NULL,presentation quality,coursera,implicit
‎لقد فتح منظورًا مختلفًا تمامًا لتعلم وتعليم اللغة الإنجليزية ...,NULL,course general,coursera,implicit
‎اعتقدتأيضًاأنالتعليماتالنهائيةالمهمةكانتمربكةبعضالشيء.,المهمة,assignments comprehensiveness,coursera,explicit
‎لقد كنت أبحث عن دورة إحصائية لفتح المزيد من التعلم.,NULL,NULL,coursera,implicit
‎لقدكانتهذهدورةرائعة.,دورة,course general,coursera,explicit
‎الأهم من ذلك، أن هذه الدورة أعطتني الآن الثقة في أنني أستطيع أن أتعلم أي شيء بموقف التعلم حتى لو لم يكن لدي موهبة / اهتمام تجاهه.,دورة,course relatability,coursera,explicit
‎لقد قمت بالإبلاغ عن كل هذه الأمور ولم أتلق حتى ردًا واحدًا، ربما لأنني لست عميلًا يدفع.,NULL,faculty response,coursera,implicit
‎أتطلع إلى دورة CSS.,NULL,NULL,coursera,implicit
‎كلمنيكملهذهالدورةالدورةسوفيحصلعلىفوائدمدىالحياة.,الدورة,course general,coursera,explicit
‎يعد هذا مقدمة رائعة لنهج أكثر رسمية للخوارزميات، وأنا أتطلع إلى بقية الدورات في التخصص.,NULL | NULL,course general | course quality,coursera,implicit | implicit
‎متطلعًاإلىالجزءالتاليمنهذهالدورةالدورة.,الدورة,course general,coursera,explicit
‎بعد الانتهاء من الدورة، يحصل الشخص على جميع الأساسيات التي يحتاجها لمزيد من التعلم وحتى يتمكن من برمجة بعض الأشياء.,NULL,NULL,coursera,implicit
‎سأوصيبهذهالدورةالدورةلأصدقائيوعائلتيبالتأكيد.,الدورة,course general,coursera,explicit
‎تصفيق كبير لميلوني!,NULL,NULL,coursera,implicit
‎هذهمجردبدايةدورةتجعلكعلىدرايةبأساسياتMLباستخدامPython.,دورة,course quality,coursera,explicit
‎كان انتقادي الوحيد هو الطريقة التي تم بها إعداد ردود الفعل والنقد.,NULL,faculty response,coursera,implicit
‎وستكون النتائج مفيدة جدًا.,NULL,grades general,coursera,implicit
‎أناسعيدجدًابالدورةوأودأنأحصلعلىدورةتعلمالتحدثباللغةالكورية2!,دورة,course general,coursera,explicit
‎إنهادورةمنظمةبشكلجيدللغايةوفعالةدورة.,دورة,course quality,coursera,explicit
‎إذا كان هذا ما كنت أبحث عنه، فيمكنني البحث في الويب عن المدونات.,NULL,NULL,coursera,implicit
‎بخلافذلك،رائعالدورة،رائعالمعلم،ورائعالمحتوى!,المحتوى | المعلم | الدورة,material quality | faculty general | course general,coursera,explicit | explicit | explicit
‎الآن لا أستطيع إخراج أغاني البيتلز من رأسي يوميًا، ولدي بعض الأفكار الإضافية التي تعزز تقديري لموسيقاهم الرائعة أكثر.,NULL,NULL,coursera,implicit
‎لقد صنعت دورة مثيرة للاهتمام ومفيدة للغاية.,NULL,NULL,coursera,implicit
‎كانتدورةمثيرةللاهتمامللغايةدورة،ومعذلككانتمتحيزةنحوالتاريخالإسبانيمعالإضافات.,دورة,course general,coursera,explicit
‎أنا مستمر إلى المستوى الثاني من التخصص.,NULL,NULL,coursera,implicit
‎لا يمكنك تقديم نفسك لشخص ما إذا كنت لا تعرف من أنت.,NULL,NULL,coursera,implicit
‎أنا عادة أحب الدورات التي تركز بشكل كبير على الجانب العلمي، ولكن هذه الفئة تم تقديمها بشكل جيد للأشخاص ذوي المستوى المتوسط أو الأشخاص الذين ليس لديهم خلفية علمية.,NULL,presentation comprehensiveness,coursera,implicit
‎صف عظيم .,NULL,course general,coursera,implicit
‎إنهادورةجيدةدورةوالمحتوياتمفيدةجدًا.,دورة | المحتويات,course general | material quality,coursera,explicit | explicit
‎ومع ذلك، إذا كنت تريد التعمق أكثر في علم نفس الذاكرة، فربما لا تكون هذه الدورة مناسبة لك.,NULL,NULL,coursera,implicit
‎تقدم جامعتا برينستون وستانفورد جودة وعرضًا أعلى بكثير لنفس الموضوعات.,NULL,NULL,coursera,implicit
‎شكرًا لك !,NULL,NULL,coursera,implicit
‎المجال الوحيد للتحسين، كما شعرت، هو دراسة الحالة.,NULL,NULL,coursera,implicit
‎شكرًا لك !,NULL,NULL,coursera,implicit
‎لقد كان الأمر صعبًا إلى حد ما ومثيرًا للاهتمام للغاية.,NULL | NULL,course general | course quality,coursera,implicit | implicit
‎لقد تعلمت هنا في حياتي اليومية، ولكن لدي بالتأكيد الأدوات اللازمة لتقديم حجج أفضل، ومناقشة حجج الآخرين.,NULL,NULL,coursera,implicit
‎شكرًا جزيلاً,NULL,NULL,coursera,implicit
‎ممتازمحاضرات،مخيبللآمالبسببصعوبةالواجبات.,محاضرات | الواجبات,presentation quality | assignments quality,coursera,explicit | explicit
‎هذا الدورة تلهمني كثيرًا.,دورة,course general,coursera,explicit
‎الطريقة التي يتم بها تناول الموضوع واضحة ومباشرة للغاية، ومن السهل فهمها.,NULL,course comprehensiveness,coursera,implicit
‎بشكل عام، الدورة غنية بالمعلومات، وتعتمد على التعليمات وتحتوي على تمارين جيدة جدًا تغطي جميع محتويات الدورة مع تجربة عملية جيدة كبداية.,دورة | NULL | دورة | NULL,course quality | assignments quality | presentation quality | course general,coursera,explicit | implicit | explicit | implicit
‎لقد قمت بهذه الدورة من قبل .,NULL,NULL,coursera,implicit
‎أود أن أوصي بهذا الدورة التدريبية رقم، ولكنني آمل أن يأخذ مسؤولو الدورة التدريبية رقم هذه الملاحظات بعين الاعتبار ويجعلون المهام أكثر وضوحًا في المستقبل.,دورة,course general,coursera,explicit
‎إذا كنت تقوم بتفسير الأدب من المجالات النفسية أو الطبية، فهذا مصدر رائع.,NULL,course general,coursera,implicit
‎لقد استمتعت كثيرًا وتعلمت الكثير من المعلومات.,NULL | NULL,course quality | course general,coursera,implicit | implicit
‎هذهدورةمثاليةدورةللشخصالذييفكرفياستخدامGoogleCloudPlatformولكنهغيرمتأكدمنالمزاياوالإمكانات.,دورة,course general,coursera,explicit
‎أوصي بشدة بمراجعة الجبر الخطي أيضًا.,NULL,course general,coursera,implicit
‎لقد ساعدني في الانتقال من عدم وجود أي معرفة تقنية في مجال التعلم الآلي إلى النقطة التي أشعر فيها بالراحة في التنفيذ وأستطيع التفكير في هذه التنفيذات.,NULL,course general,coursera,implicit
‎آسف على اللغة الإنجليزية الرهيبة، أنا متحدث باللغة البرتغالية = ),NULL,NULL,coursera,implicit
‎ممتاز .,NULL,NULL,coursera,implicit
‎لو استطعت كنت أعطيته 6 نجوم .,NULL,NULL,coursera,implicit
‎تفكير .,NULL,NULL,coursera,implicit
