sentence,aspect,category,domain,type
لقد ذهبنا لتناول العشاء عدة مرات فقط ولكن تم تقديم نفس الجودة الرائعة و الخدمة.,الخدمة | العشاء,service general | food quality,restaurant,explicit | explicit
إنه مكان مظلم ومريح... ويتم تشغيل موسيقى الجاز دائمًا عندما نذهب.,NULL,ambience general,restaurant,implicit
يحتوي هذا المكان على طعام هندي صيني رائع.,طعام هندي صيني,food quality,restaurant,explicit
ليس ما كنت أتوقعه مقابل السعر والهيبة الموقع.,الموقع | الموقع,restaurant prices | restaurant miscellaneous,restaurant,explicit | explicit
أخيرا موثوقة مطعم صيني!,مطعم صيني,restaurant general,restaurant,explicit
كانت مفاصل جراد البحر (طبق خاص لهذا اليوم) جيدة، لكنها كانت عديمة الطعم إلى حد ما.,مفاصل جراد البحر | مفاصل جراد البحر,food style_options | food quality,restaurant,explicit | explicit
القائمة  بسيطة إلى حد ما ولا تحتوي على الكثير من الأوصاف.,NULL,food style_options,restaurant,implicit
الأسوأ مكان في شارع سميث في بروكلين,مكان,restaurant general,restaurant,explicit
كان الموظفون لطيفين، لكنهم بدوا متوترين للغاية، ويحتاج الحمام المشترك إلى التنظيف بشكل متكرر.,الموظفون | الموظفون | الحمام المشترك,service general | service general | ambience general,restaurant,explicit | explicit | explicit
أنا أحب هذا المكان تمامًا المكان !!!,المكان,restaurant general,restaurant,explicit
لم أحصل أبدًا على تفسير لما كان يحدث.,NULL,service general,restaurant,implicit
بدا الجميع سعداء بشكل عام بـ الطعام، باستثناء أخي الذي تناول سمك الماهي ماهي المشوي، والذي بدا وكأنه غارق في عصير الجريب فروت!,الطعام | سمك الماهي ماهي المشوي | سمك الماهي ماهي المشوي,food quality | food quality | food style_options,restaurant,explicit | explicit | explicit
ممتاز الجو لذيذ الأطباق جيد وودود الخدمة.,الجو | الأطباق | الخدمة | الخدمة,ambience general | food quality | service general | service general,restaurant,explicit | explicit | explicit | explicit
نتيجة لذلك، تفككت البرجر في أيديهم وتسببت في فوضى كبيرة لدرجة أنهم لم يشعروا بالرغبة في إنهاءها.,البرجر,food style_options,restaurant,explicit
أنا متحيز إلى نيوتشي.,نيوتشي,restaurant general,restaurant,explicit
كان النادل منتبهًا.,النادل,service general,restaurant,explicit
كان دجاجي غير صالح للأكل لأنه كان يحتوي على الكثير من الكتل الدهنية التي كان عليّ أن أستمر في بصقها في منديلتي.,دجاجي,food quality,restaurant,explicit
أوصي بشدة بـ Casa La Femme لأي مناسبة خاصة ولإثارة إعجاب موعدك حقًا.,Casa La Femme,restaurant miscellaneous,restaurant,explicit
رغم أنه جيد المأكولات البحرية، إلا أن أسعاره مرتفعة للغاية.,المأكولات البحرية | NULL,food quality | restaurant prices,restaurant,explicit | implicit
أود أن أقول أن كل شيء كان جيدًا ولذيذًا، لكن الثقل على معدتي كان شيئًا لا يمكنني ذكره أو التقليل من شأنه.,NULL,food quality,restaurant,implicit
"الخدمة ليست الأكثر ودية لـ ""حزبنا الكبير""!",الخدمة,service general,restaurant,explicit
في حين أن الأجواء و الجو كانا رائعين، إلا أن الطعام و الخدمة كان من الممكن أن يكونا أفضل بكثير.,الأجواء | الجو | الطعام | الخدمة,ambience general | ambience general | food quality | service general,restaurant,explicit | explicit | explicit | explicit
عندما نظرت حولي، رأيت غرفة مليئة بنيويوركيين يستمتعون بـ وجبة حقيقية في مطعم حقيقي، وليس ناديًا رائعًا يحاول أن يُرى.,وجبة | مطعم,food quality | ambience general,restaurant,explicit | explicit
لا استطيع الانتظار للعودة .,NULL,restaurant general,restaurant,implicit
في بعض الأحيان لا يفهم الطاولات حس الفكاهة لديه ولكن من المنعش أن يكون لديك خادم يتمتع بشخصية واحترافية ويحترم خصوصية عشائك.,خادم | خادم | خادم,service general | service general | service general,restaurant,explicit | explicit | explicit
أوصي بشدة بطلب طاولة بجوار النافذة.,طاولة بجوار النافذة,location general,restaurant,explicit
لقد كان مذاقها وكأن الساقي نسي إضافة التكيلا.,NULL,drinks quality,restaurant,implicit
مفيد خدمة ومتوسط السعر لكل طبق 10 دولار.,خدمة | طبق,service general | food prices,restaurant,explicit | explicit
هذا هو نوع المكان الذي ترغب في اصطحاب جميع أصدقائك إليه مع الحفاظ على سريته.,المكان,restaurant miscellaneous,restaurant,explicit
لقد حصلت على نصيبي العادل من اليابانية الحديثة وهذا المكان يسلم.,اليابانية الحديثة,food quality,restaurant,explicit
الخدمة كانت بطيئة واضطررت إلى الانتظار لطلب الطعام والحصول عليه على الرغم من عدم وجود ازدحام.,الخدمة,service general,restaurant,explicit
المكان صغير وحميم وقد تشعر بالازدحام قليلاً، ولكن الخدمة ممتازة وهو رائع لخروج الأصدقاء أو موعد رومانسي أو مناسبة خاصة.,الخدمة | المكان | المكان | المكان,service general | ambience general | restaurant miscellaneous | restaurant miscellaneous,restaurant,explicit | explicit | explicit | explicit
أفضل باسترامي تناولته على الإطلاق ورائع حصة دون أن يكون سخيفًا.,باسترامي | حصة,food quality | food style_options,restaurant,explicit | explicit
مازلنا نواصل العودة :),NULL,restaurant general,restaurant,implicit
جيد جداً,NULL,restaurant general,restaurant,implicit
يوصى به بشدة للجميع!,NULL,restaurant general,restaurant,implicit
إبداعية، متسقة، جديدة.,NULL | NULL | NULL,food quality | food style_options | food quality,restaurant,implicit | implicit | implicit
تناول الطعام في الجو ينقذك، ولكن على مكتبك، إنها تجربة مخيبة للآمال للغاية.,الجو | NULL,ambience general | restaurant general,restaurant,explicit | implicit
أحب المشهد أولاً - المكان له شخصية وإضاءة لطيفة له .. محظوظ جدًا ، الموقع الحكيم.,المشهد | المكان | الموقع,ambience general | ambience general | location general,restaurant,explicit | explicit | explicit
المشكلة الحقيقية التي واجهتها مع هذا المكان كانت الافتقار التام إلى الخدمة.,الخدمة,service general,restaurant,explicit
كيف تقيم منزلك؟,NULL,restaurant miscellaneous,restaurant,implicit
يتميز Patroon بوجود بار سيجار لطيف وموظفين رائعين.,بار سيجار | موظفين,ambience general | service general,restaurant,explicit | explicit
الخدمة كانت سريعة ومهذبة.,الخدمة | الخدمة,service general | service general,restaurant,explicit | explicit
