sentence,aspect,category,domain,type
اشتريت هذا المنتج كهدية سريعة لابني في اليوم الذي حطم فيه هاتف هواوي الخاص به. لم أرغب في شراء أي شيء باهظ الثمن لنفس السبب المذكور أعلاه. إنه سعيد به للغاية. الدقة مذهلة وسريعة للغاية. حجم الشاشة يناسب راحة اليد تمامًا ولكنه يستخدمه في وضع PopSocket للحصول على قبضة أفضل. الذاكرة ضخمة وهي ميزة أيضًا. حماية شاشة الهاتف موجودة بالفعل وغطاء حافظة الهاتف متضمن أيضًا. جيد صفقة,سعيد به | الدقة | حجم الشاشة | الذاكرة | الذاكرة | حماية شاشة الهاتف | غطاء حافظة الهاتف | صفقة,Overall#Overall | Screen#Clarity | Screen#Size | Product Configuration#Operating Memory | Product Configuration#Operating Memory | Product Accessories#Cell Phone Film | Product Accessories#Phone Cases | Price#Price,phone,explicit | explicit | explicit | explicit | explicit | explicit | explicit | explicit
جودة الكاميرا ليست جيدة. عمر البطارية ليست حسب الإجراء المحدد.,جودة الكاميرا | عمر البطارية,Camera#General | Battery/Longevity#Battery Life,phone,explicit | explicit
"لا يدعم متصفحك  فيديو HTML5. ?VfM AND, BATTERY LLLife, PEERLESS.",المتصفح | BATTERY LLLife,System#Software Compatibility | Battery/Longevity#Battery Life,phone,explicit | explicit
تم استلام المنتج كما هو موضح. تم تسليمه من الخارج، تم استلامه خلال أسبوع، ويعتبر سريعًا. خدمة التوصيل المحلية جيدة.,تم استلام المنتج | تم تسليمه من الخارج | خدمة التوصيل المحلية,Logistics#Lost and Damaged | Logistics#Speed | Logistics#general,phone,explicit | explicit | explicit
السلعة كما هو موضح. تسليم سريع . هل سبق لك شراء سلع بها من قبل؟,تسليم,Logistics#Speed,phone,explicit
بعد نصف عام من الاستخدام، أستطيع أن أؤكد أنه هاتف تجسس من نوع دودج! يوجد به عيوب متقطعة عيوب مما سيسبب لك الصداع بالتأكيد! الشيء الجيد الوحيد في هذا الهاتف هو البطارية... لذا كن صديقًا جيدًا لنفسك، ولا تشتري هذا الهاتف الصيني المزود ببرنامج تجسس مدمج برنامج تجسس بريطاني... وداعًا,عيوب | عيوب | البطارية | برنامج تجسس بريطاني | تشتري,Performance#General | Performance#General | Battery/Longevity#General | System#Application | Buyer Attitude#Recommendable,phone,explicit | explicit | explicit | explicit | explicit
ودود البائع، سوف يساعدك وسيعقد معك صفقة جيدة.,البائع | البائع,Seller Service#Attitude | Seller Service#Attitude,phone,explicit | explicit
لا، المنتج : رائع لا، ليس من الممكن اللعب على Cod أو Free Fire على هذا,منتج | Cod | Free Fire,Overall#Overall | System#Software Compatibility | System#Software Compatibility,phone,explicit | explicit | explicit
أحب الحجم و الوزن لهاتف Blackview A70، ووضوح الشاشة الشاشة، و عمر البطارية ممتاز. الجانب السلبي الوحيد هو ضرورة إدخال جميع جهات الاتصال الخاصة بي، ولكنه هاتف رائع صورة وجيد السعر.,الحجم | الوزن | الشاشة | عمر البطارية | صورة | السعر,Appearance Design#Fuselage Size | Appearance Design#Weight | Screen#Clarity | Battery/Longevity#Battery Life | Shooting Functions#General | Price#Price,phone,explicit | explicit | explicit | explicit | explicit | explicit
تم اختباره عن طريق إصلاح وحدات تحكم Nintendo switch joycon، تعمل بشكل جيد,تعمل,Overall#Overall,phone,explicit
تم استلام المنتج بحالة جيدة، جربه وهو مناسب تمامًا لجهاز التحكم عن بعد. سأشتريه مرة أخرى في المستقبل.,تم استلام المنتج | سأشتريه مرة أخرى,Logistics#Lost and Damaged | Buyer Attitude#Repurchase and Churn Tendency,phone,explicit | explicit
