sentence,aspect,category,domain,type
الحزمة وصلت أسرع من الموعد المتوقع للوصول.,الحزمة,SHIPPING#OPERATION_PERFORMANCE,laptop,explicit
لقد اشتريت هذا المنتج كهدية وشعرت بخيبة أمل كبيرة لأنه لم يتم تشغيله حتى بعد الشحن الأولي.,NULL,LAPTOP#GENERAL,laptop,implicit
الكمبيوتر اللوحي هنا يعمل بشكل جيد.,الكمبيوتر اللوحي,LAPTOP#OPERATION_PERFORMANCE,laptop,explicit
إنه جهاز قوي وعالي الجودة كمبيوتر محمول.,كمبيوتر محمول | كمبيوتر محمول,LAPTOP#QUALITY | LAPTOP#QUALITY,laptop,explicit | explicit
لقد حدثت القشة الأخيرة مؤخرًا عندما وضعته في وضع السكون ولم يستيقظ - أو بالأحرى حاول ذلك، ثم قضى الساعات القليلة التالية في وضع الإصلاح / التحليل الذي لم يفعل أي شيء في الواقع.,NULL,LAPTOP#OPERATION_PERFORMANCE,laptop,implicit
جميلة شاشة، ملمس لطيف.,شاشة | شاشة,DISPLAY#QUALITY | DISPLAY#QUALITY,laptop,explicit | explicit
لقد اشتريت هذا عنصر منذ 7 أشهر وأنا أحبه.,عنصر,LAPTOP#GENERAL,laptop,explicit
المشكلة الثانية هي أيضًا نقطة مشكلة معروفة مع Android، وهي بطاقة microsd.,بطاقة microsd,Out_Of_Scope#GENERAL,laptop,explicit
لقد امتلكت الكمبيوتر المحمول لمدة يوم كامل الآن ويمكنني القول أنه مثير للإعجاب للغاية.,الكمبيوتر المحمول,LAPTOP#GENERAL,laptop,explicit
تعديل: لقد خفت قليلاً من امتلاك 2 لمدة 9 أشهر الآن وكلاهما يعاني من مشاكل فشل شاشة اللمس.,شاشة اللمس,DISPLAY#OPERATION_PERFORMANCE,laptop,explicit
صفقة رائعة على كمبيوتر رائع!,كمبيوتر | كمبيوتر,LAPTOP#GENERAL | LAPTOP#GENERAL,laptop,explicit | explicit
التحديث - 30/7/18 - حدثت نفس المشكلة بالضبط مع وجود شق في غطاء لوحة المفاتيح على الجانب الآخر.,غطاء لوحة المفاتيح,KEYBOARD#QUALITY,laptop,explicit
مثالي ` ` الكمبيوتر ` ` لطفلي الصغير.,الكمبيوتر,LAPTOP#GENERAL,laptop,explicit
منافذ USB من الصعب جدًا توصيلها وفصلها,منافذ USB,PORTS#USABILITY,laptop,explicit
إنه من السهل جدًا السفر معه.,NULL,LAPTOP#PORTABILITY,laptop,implicit
يجعل الجهاز بأكمله الجهاز غير قابل للاستخدام.,الجهاز,LAPTOP#USABILITY,laptop,explicit
بشكل عام أنا سعيد به لما أستخدمه من أجله.,NULL,LAPTOP#GENERAL,laptop,implicit
لكنها فقدت ملف الروليت النحيب - - بشكل سيء.,NULL,LAPTOP#DESIGN_FEATURES,laptop,implicit
لا توجد مشاكل مع هذا الكمبيوتر .,الكمبيوتر,LAPTOP#GENERAL,laptop,explicit
إذا كنت غير مبالٍ بـ الشاشة، فلا تشتري هذا!,الشاشة,LAPTOP#GENERAL,laptop,explicit
جيد كمبيوتر محمول، ولكن ليس رائعًا.,كمبيوتر محمول | كمبيوتر محمول,LAPTOP#GENERAL | LAPTOP#GENERAL,laptop,explicit | explicit
إنه الأفضل على الإطلاق.,NULL,LAPTOP#GENERAL,laptop,implicit
أنا أكتب هذه المراجعة في غرفة مظلمة، وتذكرني بمدى حبي لهذا لوحة مفاتيح ذات إضاءة خلفية.,لوحة مفاتيح ذات إضاءة خلفية,KEYBOARD#OPERATION_PERFORMANCE,laptop,explicit
رائع الكمبيوتر ولكن استغرق الأمر بعض الوقت للتكيف مع عدم وجود قدر كبير الذاكرة مثل الكمبيوتر المحمول الأخير.,الكمبيوتر | الذاكرة,LAPTOP#GENERAL | MEMORY#GENERAL,laptop,explicit | explicit
أود أن أقول أن العيب الوحيد قد يكون مكبرات الصوت.,مكبرات الصوت,MULTIMEDIA_DEVICES#GENERAL,laptop,explicit
جيد الكمبيوتر المحمول ولكن كاميرا الويب ليست جيدة.,الكمبيوتر المحمول | كاميرا الويب,LAPTOP#GENERAL | MULTIMEDIA_DEVICES#GENERAL,laptop,explicit | explicit
